"﻿ID","Name","Tax status"
"1242","Tombstone - ženska majica crna","taxable"
"1243","Tombstone - duks crni","taxable"
"1251","Top Gun (Tom Kruz) - majica bela","taxable"
"1252","Top Gun (Tom Kruz) - ženska majica bela","taxable"
"1253","Top Gun (Tom Kruz) - duks beli","taxable"
"1254","Top Gun (Tom Kruz) - majica crna","taxable"
"1255","Top Gun (Tom Kruz) - ženska majica crna","taxable"
"1256","Top Gun (Tom Kruz) - duks crni","taxable"
"1263","You talking to me (De Niro) - majica bela","taxable"
"1264","You talking to me (De Niro) - ženska majica bela","taxable"
"1265","You talking to me (De Niro) - duks beli","taxable"
"1266","You talking to me (De Niro) - majica crna","taxable"
"1267","You talking to me (De Niro) - ženska majica crna","taxable"
"1268","You talking to me (De Niro) - duks crni","taxable"
"1275","Žan Klod Van Dam - majica bela","taxable"
"1276","Žan Klod Van Dam - ženska majica bela","taxable"
"1277","Žan Klod Van Dam - duks beli","taxable"
"1278","Žan Klod Van Dam - majica crna","taxable"
"1279","Žan Klod Van Dam - ženska majica crna","taxable"
"1280","Žan Klod Van Dam - duks crni","taxable"
"1287","Žan Pol Belmondo - majica bela","taxable"
"1288","Žan Pol Belmondo - ženska majica bela","taxable"
"1289","Žan Pol Belmondo - duks beli","taxable"
"1290","Žan Pol Belmondo - majica crna","taxable"
"1291","Žan Pol Belmondo - ženska majica crna","taxable"
"1292","Žan Pol Belmondo - duks crni","taxable"
"1300","Zao (dobar, loš i zao) - majica bela","taxable"
"1301","Zao (dobar, loš i zao) - ženska majica bela","taxable"
"1302","Zao (dobar, loš i zao) - duks beli","taxable"
"1303","Zao (dobar, loš i zao) - majica crna","taxable"
"1304","Zao (dobar, loš i zao) - ženska majica crna","taxable"
"1305","Zao (dobar, loš i zao) - duks crni","taxable"
"1312","5 Element - majica bela","taxable"
"1313","5 Element - ženska majica bela","taxable"
"1314","5 Element - duks beli","taxable"
"1315","5 Element - majica crna","taxable"
"1316","5 Element - ženska majica crna","taxable"
"1317","5 Element - duks crni","taxable"
"1325","Dilan Dog - majica bela","taxable"
"1326","Dilan Dog - ženska majica bela","taxable"
"1327","Dilan Dog - duks beli","taxable"
"1328","Dilan Dog - majica crna","taxable"
"1329","Dilan Dog - ženska majica crna","taxable"
"1330","Dilan Dog - duks crni","taxable"
"1337","Korto Malteze 2 - majica bela","taxable"
"1338","Korto Malteze 2 - ženska majica bela","taxable"
"1339","Korto Malteze 2 - duks beli","taxable"
"1340","Korto Malteze 2 - majica crna","taxable"
"1341","Korto Malteze 2 - ženska majica crna","taxable"
"1342","Korto Malteze 2 - duks crni","taxable"
"1349","Astronaut sa biljkom - majica bela","taxable"
"1350","Astronaut sa biljkom - ženska majica bela","taxable"
"1351","Astronaut sa biljkom - duks beli","taxable"
"1352","Astronaut sa biljkom - majica crna","taxable"
"1353","Astronaut sa biljkom - ženska majica crna","taxable"
"1354","Astronaut sa biljkom - duks crni","taxable"
"1361","Pejzaž (Aljaska, Kanada, medved) - majica bela","taxable"
"1362","Pejzaž (Aljaska, Kanada, medved) - ženska majica bela","taxable"
"1363","Pejzaž (Aljaska, Kanada, medved) - duks beli","taxable"
"1364","Pejzaž (Aljaska, Kanada, medved) -  majica crna","taxable"
"1365","Pejzaž (Aljaska, Kanada, medved) - ženska majica crna","taxable"
